"sha256","kind","category","size_bytes","source_rel","dest_rel","reason"
"4e8755a5f304821b8699531cc1071fa877ea5a3bac2d6863f308387d2f7e7e25","gnarly","text","47","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testTXT.txt","gnarly/text/txt.txt","size:tiny"
"24410ef894b78dd08a01b8604da1655a4a73f24f19370f5fc2157787b5d3e9f6","good","archive","65536","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents-spanned.z01","good/archive/-documents-spanned.z01",""
"0fefa4cd993278c2d5433d0fcfc9146e51098eff429c0b61da161c3ee76789f0","good","archive","3488","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents-spanned.zip","good/archive/-documents-spanned.zip",""
"fd6542643633e6b7c6fb3a4eecb8701cd458589649c56bf201f86f190313e96b","good","archive","66817","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents.7z","good/archive/-documents.7z",""
"466e4703e8505ccdaaa8fda233c84ce0de7fbdd7e4ec041af45b1e06e5621330","good","archive","67945","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents.rar","good/archive/-documents.rar",""
"eb1b4b338227e34dec416de239ec1d271bf740085239118d24b745fed2b48c70","good","archive","133120","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents.tar","good/archive/-documents.tar",""
"7e9a91004d873350b92e598da89336024019144ff9347d727ad9ac8dec3712f6","good","archive","71127","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents.tbz2","good/archive/-documents.tbz2",""
"c0adfa472f96a8b99e96a384a00b27cfab0296c9e30b27470020eb9608c180c5","good","archive","69060","tika-app/src/test/resources/test-data/test-documents.tgz","good/archive/-documents.tgz",""
"0b0605e151a065c9196f7c9afd952d65dc6bee4199e6220c65e0fae8855da4b5","good","archive","68403","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-documents.zip","good/archive/-documents.zip",""
"3c97d0d9c3dd6e8f95933e3f49f54e1a8b49437de310fa72fbb254356146109c","good","archive","299","tika-core/src/test/resources/test-documents/bz2/test-file-1.csv.bz2","good/archive/-file-1.csv.bz2",""
"4623a6b478349d1f3295d29f9997011ddb6e5498cbdaa4af5aa14ee2bfe294e3","good","archive","296","tika-core/src/test/resources/test-documents/bz2/test-file-2.csv.bz2","good/archive/-file-2.csv.bz2",""
"efc39b575b2e92388a39da8f7ef5c280b153f68473d1ede6ec1e8cdb0b1ec11c","good","archive","299","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/test-zip-of-zip.zip","good/archive/-zip-of-zip.zip",""
"f8b6827888cbf318c04355a65788148697ca23918a5cb53fb5ddfb7fde3ad030","good","archive","28243","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/test3mf.3mf","good/archive/3mf.3mf",""
"d2bac23462952b389d638c780a002e7483c6297b6015ccfe71e77531d8b69e23","good","archive","2916","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testASiCE.asice","good/archive/asice.asice",""
"fdcbbc8dc73e65614bc26e4257176640247e43db61eb8aa7d006639a5b4c248e","good","archive","2705","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testASiCS.asics","good/archive/asics.asics",""
"0e8e736ec22ec5fe729a4a74e066e3efb0e96eec9dacf3b25c12f878b90c0d95","good","archive","213830","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testBulletPoints.key","good/archive/bulletpoints.key",""
"68ecb486138ac84a95a0ab543a3895e13987004a478a3a4dd0cedfcf1440bdae","good","archive","5392","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-webarchive-module/src/test/resources/test-documents/cc.warc.gz","good/archive/cc.warc.gz",""
"983613c84c7b8a1189fe8984d2764fba1b54c205907b9789778db18a2222803c","good","archive","28809","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/droste.zip","good/archive/droste.zip",""
"f74eb5c4a5d1cd6f0f3dd6e7e95e9475ff63680981d5a0ce390e8fd283ef771b","good","archive","101370","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/testDWF2010.dwf","good/archive/dwf2010.dwf",""
"af075282de577f8f70bc1eb433c7d5a49ecd582bfd71d7302935ec816c9f3748","good","archive","340","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/testEmbedded.zip","good/archive/embedded.zip",""
"6aafda530315b62ece8b10797723985dd4286c7f203f8731b7eb7019a13504fa","good","archive","701","tika-parsers/tika-parsers-standard/tika-parsers-standard-package/src/test/resources/test-documents/mock/embedded_to_parent_metadata.xml.gz","good/archive/embedded_to_parent_metadata.xml.gz",""
"a4cc54d0311911edab12911168ce9277d8a20d45f3445f93eac61d0e5fd88d2e","good","archive","30552","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testEPUB.epub","good/archive/epub.epub",""
"d6d0d772521e89dc461235ddbefae4888a20a47b1c0a45e69ec8ec086f4d3c7c","good","archive","1027","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-webarchive-module/src/test/resources/test-documents/example.arc.gz","good/archive/example.arc.gz",""
"61db1066ccd94728197b510511752f802062a9ffa298f160ac14376989a31a6f","good","archive","432","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/gbk.zip","good/archive/gbk.zip",""
"22888c49a56ccb945bdac28d1b3298c79926c86321798e5c71f1f2d03fdf12c2","good","archive","459","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-webarchive-module/src/test/resources/test-documents/gzip_extra_sl.warc.gz","good/archive/gzip_extra_sl.warc.gz",""
"1080238d4654495cc9985ebf3752c61a1e50793ae6df17cc872958ef3719b740","good","archive","970636","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testiBooks.ibooks","good/archive/ibooks.ibooks",""
"d6039c75e443af957d40c04e4994e08ff8d5df5c87b40b56c69a0893bf1fe4f9","good","archive","30574","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testIndesign.idml","good/archive/indesign.idml",""
"72a5b58da36af5f6496e5a05608f90d455c929a7b5d26b6374a3f317048a179b","good","archive","204","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testIWorksNPEDetector.zip","good/archive/iworksnpedetector.zip",""
"4a270c2427f11d77f82fae696e3fd6eda945bae0422ae87c5fac6cf2bd06015c","good","archive","221745","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testKeynote.key","good/archive/keynote.key",""
"ff50d329cd64ae0bf474718171a5c940e91cce3a5f0011d36cd64d997db46b7e","good","archive","338001","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testKeynote2013.detect","good/archive/keynote2013.detect",""
"8da93f6b566bc9eb22f4791bbfd5f2179162f39bf80968187b164c33d31824db","good","archive","274397","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testKeynote2013.key","good/archive/keynote2013.key",""
"05edd6dfddd7cbbb2c74f8648a68de2e18dd97b36da5822f4b68795010bb935f","good","archive","54228","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testKeynote2018.key","good/archive/keynote2018.key",""
"9c187cf902808f7df086702a3ed964de7aa018a5e7c01a3ddf0016186297c8b0","good","archive","8106","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-zip-commons/src/test/resources/test-documents/testKMZ.kmz","good/archive/kmz.kmz",""
"372164d78bbb4062ea776708d517608608303100ede2d2a3a07d41bb73064e50","good","archive","220184","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testMasterSlideTable.key","good/archive/masterslidetable.key",""
"9e94eb0ac97d8efa9ae4d3aae71a1a225c944511145a929302a825fa8d3afc49","good","archive","606033","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-pkg-module/src/test/resources/test-documents/moby.zip","good/archive/moby.zip",""
"7851b2bac687debeb3ef05fca0579a6b0ee86babd09193be81f813deae04b438","good","archive","116754","tika-app/src/test/resources/test-data/testMultipleSheets.numbers","good/archive/multiplesheets.numbers",""
"6fb57a2fc3cfc532713ac3e58d2b7e9de93342f7d84cf76599901281a26d56cc","good","archive","134571","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testNumbers.numbers","good/archive/numbers.numbers",""
"74a834857c02d06dbc399aff8ba475f7708092e42501cc665d7fa489f385831f","good","archive","179147","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testNumbers2013.numbers","good/archive/numbers2013.numbers",""
"f4430f2aa0ddab186e7e32f15552b58b7b03abada7a978dfbcd51e5548757789","good","archive","104547","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-apple-module/src/test/resources/test-documents/testNumbersCharts.numbers","good/archive/numberscharts.numbers",""
"b49d470536b2c51bed9d437341384be6582e361c6d2fa8e8e2c507e07f28ebde","good","archive","6490","tika-parsers/tika-parsers-standard/tika-parsers-standard-modules/tika-parser-miscoffice-module/src/test/resources/test-documents/testODTBodyListOpenClose.xml.gz","good/archive/odtbodylistopenclose.xml.gz",""
